,Summary,Precip Type,Temp,el_power,Humidty
0,4000,1000,106.288889,5580,1829.22
1,3000,1000,106.238889,5580,1933.14
2,3000,1000,105.772222,5760,1741.08
3,3000,1000,105.1,5790,1377.02
4,2000,1000,105.1,5580,1390.54
5,1000,1000,107.255556,5580,2125.35
6,1000,1000,111.188889,5280,3505.26
7,1000,1000,113.938889,4920,4069.04
8,2000,1000,115.988889,4800,4553.64
9,2000,1000,117.25,4620,4728.57
10,2000,1000,117.777778,4560,4809.96
11,2000,1000,118.833333,4380,4894.41
12,2000,1000,117.827778,4470,4728.28
13,1000,1000,118.888889,4290,4807.98
14,4000,1000,117.827778,4350,4601.35
15,4000,1000,117.172222,4560,4646.12
16,4000,1000,116.061111,4680,4459.85
17,4000,1000,114.138889,4860,4077.09
18,4000,1000,112.75,5160,3903.54
19,4000,1000,112.25,5400,3924.9
20,4000,1000,111.927778,5430,3842.89
21,3000,1000,111.227778,5550,3697.31
22,1000,1000,110.1,5760,3451.78
23,2000,1000,110.572222,5340,3349.7
24,1000,1000,108.988889,5640,2759.85
25,1000,1000,107.25,5580,2163.06
26,2000,1000,106.911111,5790,2012.57
27,2000,1000,106.161111,5790,1836.03
28,3000,1000,108.888889,5490,2643.92
29,3000,1000,110.777778,5430,3472.38
30,2000,1000,114.866667,5010,4419.27
31,2000,1000,117.172222,4740,4829.52
32,2000,1000,117.683333,4770,5004.74
33,2000,1000,118.961111,4800,5400.12
34,3000,1000,120,4560,5411.2
35,3000,1000,120.861111,4560,5644.18
36,3000,1000,121.183333,4440,5580.54
37,2000,1000,121.155556,4260,5347.28
38,2000,1000,121.083333,4320,5404.08
39,2000,1000,117.983333,4650,4961.6
40,2000,1000,114.255556,5100,4313.73
41,2000,1000,114.311111,5070,4305.07
42,2000,1000,112.85,5280,4025.65
43,2000,1000,112.8,5190,3941.63
44,2000,1000,111.55,5370,3680.06
45,2000,1000,110.277778,5460,3329.59
46,1000,1000,112.222222,5220,3785.47
47,3000,1000,109.738889,5640,3153.05
48,2000,1000,109.605556,5550,2827.41
49,3000,1000,109.627778,5460,3008.33
50,3000,1000,108.766667,5640,2796.1
51,3000,1000,108.905556,5490,2612.25
52,3000,1000,109.905556,5490,2974.19
53,3000,1000,110.972222,5430,3535.03
54,3000,1000,112.85,5310,4048.52
55,3000,1000,115.094444,5130,4594.45
56,3000,1000,117.583333,4710,4913.84
57,4000,1000,118.816667,4560,5091.04
58,4000,1000,118.861111,4560,5103.06
59,4000,1000,118.916667,4530,5084.42
60,4000,1000,118.905556,4440,4980.48
61,4000,1000,117.955556,4530,4826.09
62,3000,1000,118.966667,4560,5131.62
63,3000,1000,117.961111,4770,5083.35
64,3000,1000,116.316667,4830,4676.03
65,2000,1000,114.322222,5130,4359.4
66,2000,1000,113.938889,5130,4242.72
67,2000,1000,112.272222,5280,3844.64
68,2000,1000,112.066667,5340,3823.2
69,2000,1000,109.522222,5640,3186.52
70,2000,1000,107.994444,5760,2732.18
71,2000,1000,108.55,5130,2198.3
72,3000,1000,109.494444,5670,3092.26
73,3000,1000,112.572222,5430,4050.52
74,3000,1000,111.505556,5610,3829.74
75,4000,1000,110.9,5610,3628.17
76,2000,1000,110.927778,5610,3637.42
77,2000,1000,112.022222,5610,4001.72
78,3000,1000,109.927778,5610,2747.94
79,2000,1000,112.455556,5190,3835.56
80,2000,1000,112.044444,5250,3751.84
81,2000,1000,111.916667,5010,3542.35
82,3000,1000,108.861111,5160,2058.93
83,3000,1000,109.038889,5160,2146.52
84,3000,1000,107.883333,5280,1764.81
85,2000,1000,109.95,5160,2431.42
86,2000,1000,112.1,4710,3381.47
87,2000,1000,111.083333,4860,3195.99
88,2000,1000,111.061111,4710,3091.14
89,2000,1000,110.816667,4740,3042.08
90,3000,1000,109.95,4860,2350.13
91,2000,1000,109.883333,4860,2343.73
92,2000,1000,109.361111,4890,2238.91
93,3000,1000,109.355556,4860,2229.18
94,2000,1000,108.816667,4980,2105.3
95,3000,1000,109.15,5040,2439.67
96,3000,1000,107.711111,5040,1751.05
97,3000,1000,107.2,5130,1674.09
98,2000,1000,106.6,5220,1450.52
99,2000,1000,106.133333,5280,1295.76
100,2000,1000,106.111111,5370,1309.88
101,2000,1000,107.694444,5280,1800.49
102,2000,1000,109.972222,5130,2567.78
103,2000,1000,112.127778,4830,3475.58
104,2000,1000,112.844444,4650,3543.78
105,2000,1000,113.955556,4530,3750.97
106,2000,1000,114.044444,4710,3924.86
107,2000,1000,116.094444,4140,3953.44
108,2000,1000,117.194444,4020,4101.22
109,2000,1000,117.238889,3930,4019.76
110,2000,1000,117.083333,3960,4013.9
111,3000,1000,116.155556,4170,3997.21
112,3000,1000,112.916667,4440,3402.77
113,3000,1000,111.505556,4680,3194.86
114,3000,1000,108.983333,4950,2387.13
115,3000,1000,109.027778,4950,2396.1
116,3000,1000,109.261111,5100,2544.36
117,3000,1000,110.555556,4830,3025.01
118,3000,1000,110.116667,4950,2971.26
119,2000,1000,108.35,5460,2421.6
120,4000,1000,109.583333,4950,2509.5
121,4000,1000,108.477778,5190,2252.24
122,3000,1000,107.216667,5310,2065.39
123,3000,1000,106.322222,5340,1741.74
124,2000,1000,107.366667,5370,2245.39
125,3000,1000,110.977778,5010,3263.25
126,3000,1000,112.244444,4830,3509.01
127,1000,1000,113.816667,4770,3910.39
128,4000,1000,113.022222,5100,3940.52
129,4000,1000,112.333333,5370,3929.65
130,4000,1000,112.705556,5310,4003.01
131,1000,1000,112.416667,5490,4044.6
132,4000,1000,112.2,5580,4039.18
133,4000,1000,111.183333,5760,3822.02
134,3000,1000,111.194444,5760,3825.81
135,3000,1000,111.205556,5790,3849.56
136,3000,1000,111.183333,5760,3822.02
137,3000,1000,110.261111,5760,3506.84
138,2000,1000,109.977778,5790,3135.76
139,2000,1000,109.983333,5670,3029.65
140,2000,1000,109.638889,5760,2947.68
141,2000,1000,109.472222,5670,2836.21
142,2000,1000,109.355556,5580,2745.21
143,3000,1000,109.377778,5670,3154.87
144,2000,1000,108.288889,5490,2318.18
145,3000,1000,108.755556,5490,2562.49
146,2000,1000,109.222222,5550,2689.28
147,2000,1000,107.733333,5850,2300.5
148,2000,1000,108.772222,5670,2573.61
149,2000,1000,110.822222,5460,3505.97
150,2000,1000,113.772222,5160,4216.5
151,2000,1000,116.016667,5010,4761.11
152,2000,1000,117.144444,4620,4699.64
153,2000,1000,117.8,4650,4911.02
154,2000,1000,117.333333,4530,4658.85
155,2000,1000,118.877778,4410,4939.56
156,2000,1000,118.911111,4380,4914.62
157,2000,1000,115.388889,4800,4382.76
158,3000,1000,115.55,4890,4511.68
159,3000,1000,114.255556,5070,4288.36
160,3000,1000,113.144444,5100,3977.51
161,3000,1000,111.55,5310,3638.94
162,3000,1000,111.183333,5280,3503.51
163,2000,1000,110.116667,5370,3223.37
164,3000,1000,110.2,5310,3213.61
165,3000,1000,109.555556,5400,2948.57
166,3000,1000,110.622222,5370,3384.45
167,2000,1000,108.722222,5790,2996.43
168,3000,1000,110.533333,5310,3318.63
169,3000,1000,109.444444,5490,2956.09
170,3000,1000,109.888889,5490,3129.82
171,3000,1000,110.366667,5340,3284.57
172,2000,1000,108.888889,5670,2711.92
173,2000,1000,109.977778,5520,3106.89
174,3000,1000,112.2,5190,3756.87
175,3000,1000,113.961111,5010,4150.08
176,3000,1000,114.944444,5010,4442.39
177,3000,1000,116.183333,5130,4925.88
178,2000,1000,116.366667,4830,4690.36
179,2000,1000,117.372222,4710,4854.84
180,2000,1000,117.672222,4530,4749.94
181,2000,1000,117.722222,4590,4826.47
182,2000,1000,116.238889,4830,4653.74
183,3000,1000,114.066667,5130,4281.61
184,2000,1000,113.955556,5280,4372
185,2000,1000,112.288889,5400,3937.36
186,2000,1000,110.022222,5580,3318.16
187,2000,1000,109.377778,5580,2984.32
188,2000,1000,109.416667,5700,3184.72
189,2000,1000,109.216667,5700,3017.5
190,2000,1000,108.683333,5700,2854.97
191,3000,1000,109.188889,5310,2597.49
192,2000,1000,108.594444,5790,2814.17
193,2000,1000,107.505556,5790,2578.46
194,2000,1000,106.216667,5850,1806.85
195,5000,1000,105.855556,5790,2011.62
196,1000,1000,105.933333,6000,2112.27
197,1000,1000,110.405556,6000,3704.38
198,2000,1000,112.544444,5340,3974.58
199,2000,1000,113.861111,5310,4367.08
200,2000,1000,115.977778,4890,4635.79
201,2000,1000,117.266667,4710,4825.34
202,2000,1000,117.844444,4500,4764.47
203,2000,1000,116.427778,4620,4503.18
204,2000,1000,117.777778,4380,4620.09
205,2000,1000,117.844444,4350,4605.65
206,2000,1000,117.3,4500,4619.1
207,2000,1000,115.183333,4950,4459.34
208,3000,1000,113.005556,5100,3935.48
209,3000,1000,112.694444,5220,3931.72
210,2000,1000,112.194444,5160,3733.45
211,2000,1000,112.083333,5130,3677.93
212,2000,1000,110.616667,5220,3288.19
213,2000,1000,109.533333,5280,2852.59
214,3000,1000,109.972222,5130,2730.12
215,2000,1000,104.911111,5730,1669.68
216,2000,1000,107.916667,5340,2181.8
217,2000,1000,107.383333,5460,1966.26
218,3000,1000,107.972222,5460,2246.12
219,4000,1000,108.816667,5520,2514.63
220,3000,1000,108.794444,5520,2349.96
221,4000,1000,107.888889,5670,2014.78
222,4000,1000,107.8,5880,2116.54
223,4000,1000,107.822222,5850,2286.04
224,4000,1000,107.944444,5850,2460.55
225,4000,1000,108.077778,5820,2336.67
226,4000,1000,110.227778,5430,3295.19
227,4000,1000,111.361111,5220,3518.76
228,3000,1000,112.45,5100,3767.37
229,2000,1000,112.916667,5010,3839.61
230,2000,1000,112.55,4860,3618.92
231,2000,1000,112.383333,5070,3725.15
232,2000,1000,110.227778,5250,3185.95
233,2000,1000,109.227778,5340,2699.3
234,1000,1000,107.827778,5610,2404.91
235,1000,1000,106.677778,5730,2108.82
236,1000,1000,106.122222,5730,1880.28
237,2000,1000,105.327778,5850,1644.87
238,1000,1000,104.355556,5850,1051.91
239,3000,1000,109.272222,5670,3119.36
240,2000,1000,104.261111,5760,1217.99
241,2000,1000,103.216667,5760,834.46
242,2000,1000,103.905556,5760,1097.43
243,5000,1000,102.711111,5880,555.3
244,5000,1000,103.816667,6000,1150.08
245,1000,1000,106.883333,5790,2059.33
246,3000,1000,108.938889,5640,2588.81
247,3000,1000,111.205556,5370,3570.31
248,3000,1000,112.85,5100,3888.41
249,3000,1000,113.961111,4890,4050.68
250,3000,1000,114.977778,4530,4025.73
251,4000,1000,114.027778,4710,3920.2
252,3000,1000,115.022222,4530,4037.67
253,3000,1000,115.044444,4620,4123.98
254,4000,1000,115.088889,4500,4028.73
255,4000,1000,114.95,4530,4018.26
256,4000,1000,113.816667,4770,3910.39
257,4000,1000,112.916667,4920,3770.63
258,4000,1000,113.838889,4770,3916.68
259,4000,1000,112.755556,5070,3837.13
260,4000,1000,112.65,5220,3917.96
261,4000,1000,111.688889,5400,3745.12
262,4000,1000,110.627778,5640,3556.48
263,4000,1000,105.666667,5730,1601.68
264,4000,1000,110.05,5760,3434.69
265,4000,1000,109.977778,5790,3427.77
266,4000,1000,109.777778,5850,3324.45
267,4000,1000,108.661111,5970,3067.94
268,4000,1000,107.55,5850,2049.82
269,4000,1000,107.233333,5790,2046.93
270,4000,1000,106.044444,5760,1376.53
271,4000,1000,106.094444,5550,1371.17
272,4000,1000,106.116667,5460,1355.23
273,4000,1000,106.066667,5580,1452.15
274,4000,1000,106.038889,5790,1502.99
275,4000,1000,106.888889,5790,1733.92
276,4000,1000,107.061111,5580,1855.89
277,4000,1000,106.038889,5790,1440.01
278,4000,1000,106.072222,5790,1439.05
279,4000,1000,105.044444,5790,1047.8
280,4000,1000,105.022222,5760,1190.46
281,4000,1000,105.033333,5790,1176.62
282,4000,1000,105,5790,1277.78
283,4000,1000,104.977778,5790,1177.58
284,4000,1000,104.933333,5610,1077.17
285,4000,1000,104.466667,5760,981.61
286,4000,1000,104.444444,5760,963.57
287,1000,1000,104.011111,5490,823.4
288,4000,1000,104.905556,5580,1117.39
289,4000,1000,104.883333,5490,1178.09
290,4000,1000,104.388889,5670,953.19
291,4000,1000,104.838889,5580,1014.39
292,4000,1000,104.811111,5490,1025.18
293,3000,1000,104.944444,5520,1013.49
