1,2,3,4,5
3,0,106.288889,0.86,0.182922
2,0,106.238889,0.86,0.193314
2,0,105.772222,0.92,0.174108
2,0,105.1,0.93,0.137702
1,0,105.1,0.86,0.139054
0,0,107.255556,0.86,0.212535
0,0,111.188889,0.76,0.350526
0,0,113.938889,0.64,0.406904
1,0,115.988889,0.6,0.455364
1,0,117.25,0.54,0.472857
1,0,117.777778,0.52,0.480996
1,0,118.833333,0.46,0.489441
1,0,117.827778,0.49,0.472828
0,0,118.888889,0.43,0.480798
3,0,117.827778,0.45,0.460135
3,0,117.172222,0.52,0.464612
3,0,116.061111,0.56,0.445985
3,0,114.138889,0.62,0.407709
3,0,112.75,0.72,0.390354
3,0,112.25,0.8,0.39249
3,0,111.927778,0.81,0.384289
2,0,111.227778,0.85,0.369731
0,0,110.1,0.92,0.345178
1,0,110.572222,0.78,0.33497
0,0,108.988889,0.88,0.275985
0,0,107.25,0.86,0.216306
1,0,106.911111,0.93,0.201257
1,0,106.161111,0.93,0.183603
2,0,108.888889,0.83,0.264392
2,0,110.777778,0.81,0.347238
1,0,114.866667,0.67,0.441927
1,0,117.172222,0.58,0.482952
1,0,117.683333,0.59,0.500474
1,0,118.961111,0.6,0.540012
2,0,120,0.52,0.54112
2,0,120.861111,0.52,0.564418
2,0,121.183333,0.48,0.558054
1,0,121.155556,0.42,0.534728
1,0,121.083333,0.44,0.540408
1,0,117.983333,0.55,0.49616
1,0,114.255556,0.7,0.431373
1,0,114.311111,0.69,0.430507
1,0,112.85,0.76,0.402565
1,0,112.8,0.73,0.394163
1,0,111.55,0.79,0.368006
1,0,110.277778,0.82,0.332959
0,0,112.222222,0.74,0.378547
2,0,109.738889,0.88,0.315305
1,0,109.605556,0.85,0.282741
2,0,109.627778,0.82,0.300833
2,0,108.766667,0.88,0.27961
2,0,108.905556,0.83,0.261225
2,0,109.905556,0.83,0.297419
2,0,110.972222,0.81,0.353503
2,0,112.85,0.77,0.404852
2,0,115.094444,0.71,0.459445
2,0,117.583333,0.57,0.491384
3,0,118.816667,0.52,0.509104
3,0,118.861111,0.52,0.510306
3,0,118.916667,0.51,0.508442
3,0,118.905556,0.48,0.498048
3,0,117.955556,0.51,0.482609
2,0,118.966667,0.52,0.513162
2,0,117.961111,0.59,0.508335
2,0,116.316667,0.61,0.467603
1,0,114.322222,0.71,0.43594
1,0,113.938889,0.71,0.424272
1,0,112.272222,0.76,0.384464
1,0,112.066667,0.78,0.38232
1,0,109.522222,0.88,0.318652
1,0,107.994444,0.92,0.273218
1,0,108.55,0.71,0.21983
2,0,109.494444,0.89,0.309226
2,0,112.572222,0.81,0.405052
2,0,111.505556,0.87,0.382974
3,0,110.9,0.87,0.362817
1,0,110.927778,0.87,0.363742
1,0,112.022222,0.87,0.400172
2,0,109.927778,0.87,0.274794
1,0,112.455556,0.73,0.383556
1,0,112.044444,0.75,0.375184
1,0,111.916667,0.67,0.354235
2,0,108.861111,0.72,0.205893
2,0,109.038889,0.72,0.214652
2,0,107.883333,0.76,0.176481
1,0,109.95,0.72,0.243142
1,0,112.1,0.57,0.338147
1,0,111.083333,0.62,0.319599
1,0,111.061111,0.57,0.309114
1,0,110.816667,0.58,0.304208
2,0,109.95,0.62,0.235013
1,0,109.883333,0.62,0.234373
1,0,109.361111,0.63,0.223891
2,0,109.355556,0.62,0.222918
1,0,108.816667,0.66,0.21053
2,0,109.15,0.68,0.243967
2,0,107.711111,0.68,0.175105
2,0,107.2,0.71,0.167409
1,0,106.6,0.74,0.145052
1,0,106.133333,0.76,0.129576
1,0,106.111111,0.79,0.130988
1,0,107.694444,0.76,0.180049
1,0,109.972222,0.71,0.256778
1,0,112.127778,0.61,0.347558
1,0,112.844444,0.55,0.354378
1,0,113.955556,0.51,0.375097
1,0,114.044444,0.57,0.392486
1,0,116.094444,0.38,0.395344
1,0,117.194444,0.34,0.410122
1,0,117.238889,0.31,0.401976
1,0,117.083333,0.32,0.40139
2,0,116.155556,0.39,0.399721
2,0,112.916667,0.48,0.340277
2,0,111.505556,0.56,0.319486
2,0,108.983333,0.65,0.238713
2,0,109.027778,0.65,0.23961
2,0,109.261111,0.7,0.254436
2,0,110.555556,0.61,0.302501
2,0,110.116667,0.65,0.297126
1,0,108.35,0.82,0.24216
3,0,109.583333,0.65,0.25095
3,0,108.477778,0.73,0.225224
2,0,107.216667,0.77,0.206539
2,0,106.322222,0.78,0.174174
1,0,107.366667,0.79,0.224539
2,0,110.977778,0.67,0.326325
2,0,112.244444,0.61,0.350901
0,0,113.816667,0.59,0.391039
3,0,113.022222,0.7,0.394052
3,0,112.333333,0.79,0.392965
3,0,112.705556,0.77,0.400301
0,0,112.416667,0.83,0.40446
3,0,112.2,0.86,0.403918
3,0,111.183333,0.92,0.382202
2,0,111.194444,0.92,0.382581
2,0,111.205556,0.93,0.384956
2,0,111.183333,0.92,0.382202
2,0,110.261111,0.92,0.350684
1,0,109.977778,0.93,0.313576
1,0,109.983333,0.89,0.302965
1,0,109.638889,0.92,0.294768
1,0,109.472222,0.89,0.283621
1,0,109.355556,0.86,0.274521
2,0,109.377778,0.89,0.315487
1,0,108.288889,0.83,0.231818
2,0,108.755556,0.83,0.256249
1,0,109.222222,0.85,0.268928
1,0,107.733333,0.95,0.23005
1,0,108.772222,0.89,0.257361
1,0,110.822222,0.82,0.350597
1,0,113.772222,0.72,0.42165
1,0,116.016667,0.67,0.476111
1,0,117.144444,0.54,0.469964
1,0,117.8,0.55,0.491102
1,0,117.333333,0.51,0.465885
1,0,118.877778,0.47,0.493956
1,0,118.911111,0.46,0.491462
1,0,115.388889,0.6,0.438276
2,0,115.55,0.63,0.451168
2,0,114.255556,0.69,0.428836
2,0,113.144444,0.7,0.397751
2,0,111.55,0.77,0.363894
2,0,111.183333,0.76,0.350351
1,0,110.116667,0.79,0.322337
2,0,110.2,0.77,0.321361
2,0,109.555556,0.8,0.294857
2,0,110.622222,0.79,0.338445
1,0,108.722222,0.93,0.299643
2,0,110.533333,0.77,0.331863
2,0,109.444444,0.83,0.295609
2,0,109.888889,0.83,0.312982
2,0,110.366667,0.78,0.328457
1,0,108.888889,0.89,0.271192
1,0,109.977778,0.84,0.310689
2,0,112.2,0.73,0.375687
2,0,113.961111,0.67,0.415008
2,0,114.944444,0.67,0.444239
2,0,116.183333,0.71,0.492588
1,0,116.366667,0.61,0.469036
1,0,117.372222,0.57,0.485484
1,0,117.672222,0.51,0.474994
1,0,117.722222,0.53,0.482647
1,0,116.238889,0.61,0.465374
2,0,114.066667,0.71,0.428161
1,0,113.955556,0.76,0.4372
1,0,112.288889,0.8,0.393736
1,0,110.022222,0.86,0.331816
1,0,109.377778,0.86,0.298432
1,0,109.416667,0.9,0.318472
1,0,109.216667,0.9,0.30175
1,0,108.683333,0.9,0.285497
2,0,109.188889,0.77,0.259749
1,0,108.594444,0.93,0.281417
1,0,107.505556,0.93,0.257846
1,0,106.216667,0.95,0.180685
4,0,105.855556,0.93,0.201162
0,0,105.933333,1,0.211227
0,0,110.405556,1,0.370438
1,0,112.544444,0.78,0.397458
1,0,113.861111,0.77,0.436708
1,0,115.977778,0.63,0.463579
1,0,117.266667,0.57,0.482534
1,0,117.844444,0.5,0.476447
1,0,116.427778,0.54,0.450318
1,0,117.777778,0.46,0.462009
1,0,117.844444,0.45,0.460565
1,0,117.3,0.5,0.46191
1,0,115.183333,0.65,0.445934
2,0,113.005556,0.7,0.393548
2,0,112.694444,0.74,0.393172
1,0,112.194444,0.72,0.373345
1,0,112.083333,0.71,0.367793
1,0,110.616667,0.74,0.328819
1,0,109.533333,0.76,0.285259
2,0,109.972222,0.71,0.273012
1,0,104.911111,0.91,0.166968
1,0,107.916667,0.78,0.21818
1,0,107.383333,0.82,0.196626
2,0,107.972222,0.82,0.224612
3,0,108.816667,0.84,0.251463
2,0,108.794444,0.84,0.234996
3,0,107.888889,0.89,0.201478
3,0,107.8,0.96,0.211654
3,0,107.822222,0.95,0.228604
3,0,107.944444,0.95,0.246055
3,0,108.077778,0.94,0.233667
3,0,110.227778,0.81,0.329519
3,0,111.361111,0.74,0.351876
2,0,112.45,0.7,0.376737
1,0,112.916667,0.67,0.383961
