,1,2,3,4,5
0,3,0,106.288889,0.86,1829.22
1,2,0,106.238889,0.86,1933.14
2,2,0,105.772222,0.92,1741.08
3,2,0,105.1,0.93,1377.02
4,1,0,105.1,0.86,1390.54
5,0,0,107.255556,0.86,2125.35
6,0,0,111.188889,0.76,3505.26
7,0,0,113.938889,0.64,4069.04
8,1,0,115.988889,0.6,4553.64
9,1,0,117.25,0.54,4728.57
10,1,0,117.777778,0.52,4809.96
11,1,0,118.833333,0.46,4894.41
12,1,0,117.827778,0.49,4728.28
13,0,0,118.888889,0.43,4807.98
14,3,0,117.827778,0.45,4601.35
15,3,0,117.172222,0.52,4646.12
16,3,0,116.061111,0.56,4459.85
17,3,0,114.138889,0.62,4077.09
18,3,0,112.75,0.72,3903.54
19,3,0,112.25,0.8,3924.9
20,3,0,111.927778,0.81,3842.89
21,2,0,111.227778,0.85,3697.31
22,0,0,110.1,0.92,3451.78
23,1,0,110.572222,0.78,3349.7
24,0,0,108.988889,0.88,2759.85
25,0,0,107.25,0.86,2163.06
26,1,0,106.911111,0.93,2012.57
27,1,0,106.161111,0.93,1836.03
28,2,0,108.888889,0.83,2643.92
29,2,0,110.777778,0.81,3472.38
30,1,0,114.866667,0.67,4419.27
31,1,0,117.172222,0.58,4829.52
32,1,0,117.683333,0.59,5004.74
33,1,0,118.961111,0.6,5400.12
34,2,0,120,0.52,5411.2
35,2,0,120.861111,0.52,5644.18
36,2,0,121.183333,0.48,5580.54
37,1,0,121.155556,0.42,5347.28
38,1,0,121.083333,0.44,5404.08
39,1,0,117.983333,0.55,4961.6
40,1,0,114.255556,0.7,4313.73
41,1,0,114.311111,0.69,4305.07
42,1,0,112.85,0.76,4025.65
43,1,0,112.8,0.73,3941.63
44,1,0,111.55,0.79,3680.06
45,1,0,110.277778,0.82,3329.59
46,0,0,112.222222,0.74,3785.47
47,2,0,109.738889,0.88,3153.05
48,1,0,109.605556,0.85,2827.41
49,2,0,109.627778,0.82,3008.33
50,2,0,108.766667,0.88,2796.1
51,2,0,108.905556,0.83,2612.25
52,2,0,109.905556,0.83,2974.19
53,2,0,110.972222,0.81,3535.03
54,2,0,112.85,0.77,4048.52
55,2,0,115.094444,0.71,4594.45
56,2,0,117.583333,0.57,4913.84
57,3,0,118.816667,0.52,5091.04
58,3,0,118.861111,0.52,5103.06
59,3,0,118.916667,0.51,5084.42
60,3,0,118.905556,0.48,4980.48
61,3,0,117.955556,0.51,4826.09
62,2,0,118.966667,0.52,5131.62
63,2,0,117.961111,0.59,5083.35
64,2,0,116.316667,0.61,4676.03
65,1,0,114.322222,0.71,4359.4
66,1,0,113.938889,0.71,4242.72
67,1,0,112.272222,0.76,3844.64
68,1,0,112.066667,0.78,3823.2
69,1,0,109.522222,0.88,3186.52
70,1,0,107.994444,0.92,2732.18
71,1,0,108.55,0.71,2198.3
72,2,0,109.494444,0.89,3092.26
73,2,0,112.572222,0.81,4050.52
74,2,0,111.505556,0.87,3829.74
75,3,0,110.9,0.87,3628.17
76,1,0,110.927778,0.87,3637.42
77,1,0,112.022222,0.87,4001.72
78,2,0,109.927778,0.87,2747.94
79,1,0,112.455556,0.73,3835.56
80,1,0,112.044444,0.75,3751.84
81,1,0,111.916667,0.67,3542.35
82,2,0,108.861111,0.72,2058.93
83,2,0,109.038889,0.72,2146.52
84,2,0,107.883333,0.76,1764.81
85,1,0,109.95,0.72,2431.42
86,1,0,112.1,0.57,3381.47
87,1,0,111.083333,0.62,3195.99
88,1,0,111.061111,0.57,3091.14
89,1,0,110.816667,0.58,3042.08
90,2,0,109.95,0.62,2350.13
91,1,0,109.883333,0.62,2343.73
92,1,0,109.361111,0.63,2238.91
93,2,0,109.355556,0.62,2229.18
94,1,0,108.816667,0.66,2105.3
95,2,0,109.15,0.68,2439.67
96,2,0,107.711111,0.68,1751.05
97,2,0,107.2,0.71,1674.09
98,1,0,106.6,0.74,1450.52
99,1,0,106.133333,0.76,1295.76
100,1,0,106.111111,0.79,1309.88
101,1,0,107.694444,0.76,1800.49
102,1,0,109.972222,0.71,2567.78
103,1,0,112.127778,0.61,3475.58
104,1,0,112.844444,0.55,3543.78
105,1,0,113.955556,0.51,3750.97
106,1,0,114.044444,0.57,3924.86
107,1,0,116.094444,0.38,3953.44
108,1,0,117.194444,0.34,4101.22
109,1,0,117.238889,0.31,4019.76
110,1,0,117.083333,0.32,4013.9
111,2,0,116.155556,0.39,3997.21
112,2,0,112.916667,0.48,3402.77
113,2,0,111.505556,0.56,3194.86
114,2,0,108.983333,0.65,2387.13
115,2,0,109.027778,0.65,2396.1
116,2,0,109.261111,0.7,2544.36
117,2,0,110.555556,0.61,3025.01
118,2,0,110.116667,0.65,2971.26
119,1,0,108.35,0.82,2421.6
120,3,0,109.583333,0.65,2509.5
121,3,0,108.477778,0.73,2252.24
122,2,0,107.216667,0.77,2065.39
123,2,0,106.322222,0.78,1741.74
124,1,0,107.366667,0.79,2245.39
125,2,0,110.977778,0.67,3263.25
126,2,0,112.244444,0.61,3509.01
127,0,0,113.816667,0.59,3910.39
128,3,0,113.022222,0.7,3940.52
129,3,0,112.333333,0.79,3929.65
130,3,0,112.705556,0.77,4003.01
131,0,0,112.416667,0.83,4044.6
132,3,0,112.2,0.86,4039.18
133,3,0,111.183333,0.92,3822.02
134,2,0,111.194444,0.92,3825.81
135,2,0,111.205556,0.93,3849.56
136,2,0,111.183333,0.92,3822.02
